,player_id,first_name,last_name,position,weight,birthday,country,school,draft_year,draft_round,draft_number,height
0,1630173,Precious,Achiuwa,Forward,225,1999-09-19,Nigeria,Memphis,2020,1.0,20.0,6.8
1,203500,Steven,Adams,Center,265,1993-07-20,New Zealand,Pittsburgh,2013,1.0,12.0,6.11
2,1628389,Bam,Adebayo,Center-Forward,255,1997-07-18,USA,Kentucky,2017,1.0,14.0,6.9
3,1630534,Ochai,Agbaji,Guard,215,2000-04-20,USA,Kansas,2022,1.0,14.0,6.5
4,1630583,Santi,Aldama,Forward-Center,215,2001-01-10,Spain,Loyola-Maryland,2021,1.0,30.0,7.0
5,1629638,Nickeil,Alexander-Walker,Guard,205,1998-09-02,Canada,Virginia Tech,2019,1.0,17.0,6.5
6,1628960,Grayson,Allen,Guard,198,1995-10-08,USA,Duke,2018,1.0,21.0,6.4
7,1628386,Jarrett,Allen,Center,243,1998-04-21,USA,Texas,2017,1.0,22.0,6.9
8,1630631,Jose,Alvarado,Guard,179,1998-04-12,USA,Georgia Tech,2021,0.0,0.0,6.0
9,203937,Kyle,Anderson,Forward-Guard,230,1993-09-20,USA,UCLA,2014,1.0,30.0,6.9
10,203507,Giannis,Antetokounmpo,Forward,243,1994-12-06,Greece,Filathlitikos,2013,1.0,15.0,7.0
11,1628961,Kostas,Antetokounmpo,Forward,200,1997-11-20,Greece,University of Dayton,2018,2.0,60.0,6.1
12,203648,Thanasis,Antetokounmpo,Forward,219,1992-07-18,Greece,Panathinaikos,2014,2.0,51.0,6.7
13,1630175,Cole,Anthony,Guard,185,2000-05-15,USA,North Carolina,2020,1.0,15.0,6.3
14,1628384,O.G.,Anunoby,Forward,232,1997-07-17,United Kingdom,Indiana,2017,1.0,23.0,6.7
15,1627853,Ryan,Arcidiacono,Guard,195,1994-03-26,USA,Villanova,2017,0.0,0.0,6.3
16,201571,D.J.,Augustin,Guard,183,1987-11-10,USA,University of Texas at Austin,2008,1.0,9.0,5.11
17,1630166,Deni,Avdija,Forward,210,2001-01-03,Israel,Maccabi Tel Aviv,2020,1.0,9.0,6.9
18,1629028,Deandre,Ayton,Center,250,1998-07-23,Bahamas,Arizona,2018,1.0,1.0,7.0
19,1628962,Udoka,Azubuike,Center-Forward,270,1999-09-17,Nigeria,Kansas,2020,1.0,27.0,6.11
20,1630641,Ibou,Badji,Center,240,2002-10-13,Senegal,FC Barcelona,2022,0.0,0.0,7.1
21,1628963,Marvin,Bagley III,Forward,235,1999-03-14,USA,Duke,2018,1.0,2.0,6.1
22,1631116,Patrick,Baldwin,Forward,220,2002-11-18,USA,Wisconsin-Milwaukee,2022,1.0,28.0,6.9
23,1630163,LaMelo,Ball,Guard,180,2001-08-22,USA,Illawarra,2020,1.0,3.0,6.7
24,1628964,Mo,Bamba,Center,231,1998-05-12,USA,Texas,2018,1.0,6.0,7.0
25,1631094,Paolo,Banchero,Forward,250,2002-11-12,USA,Duke,2022,1.0,1.0,6.1
26,1630217,Desmond,Bane,Guard,215,1998-06-25,USA,TCU,2020,1.0,30.0,6.5
27,1630625,Dalano,Banton,Forward,204,1999-11-07,Canada,Nebraska,2021,2.0,46.0,6.7
28,1631230,Dominick,Barlow,Forward,215,2003-05-26,USA,,2022,0.0,0.0,6.9
29,203084,Harrison,Barnes,Forward,225,1992-05-30,USA,North Carolina,2012,1.0,7.0,6.8
30,1630567,Scottie,Barnes,Forward,225,2001-08-01,USA,Florida State,2021,1.0,4.0,6.8
31,1629628,RJ,Barrett,Forward-Guard,214,2000-06-14,Canada,Duke,2019,1.0,3.0,6.6
32,203115,Will,Barton,Guard,181,1991-01-06,USA,Memphis,2012,2.0,40.0,6.5
33,1629646,Charles,Bassey,Center-Forward,230,2000-10-28,Nigeria,Western Kentucky,2021,2.0,53.0,6.9
34,1628966,Keita,Bates-Diop,Forward,229,1996-01-23,USA,Ohio State,2018,2.0,48.0,6.8
35,201587,Nicolas,Batum,Guard-Forward,230,1988-12-14,France,Le Mans,2008,1.0,25.0,6.8
36,1629647,Darius,Bazley,Forward,216,2000-06-12,USA,Princeton HS (OH),2019,1.0,23.0,6.9
37,203078,Bradley,Beal,Guard,207,1993-06-28,USA,Florida,2012,1.0,3.0,6.4
38,1627736,Malik,Beasley,Guard,187,1996-11-26,USA,Florida State,2016,1.0,19.0,6.4
39,1630699,MarJon,Beauchamp,Forward,199,2000-10-12,USA,NBA G League Ignite,2022,1.0,24.0,6.7
40,202722,Davis,Bertans,Forward,225,1992-11-12,Latvia,Baskonia,2011,2.0,42.0,6.1
41,201976,Patrick,Beverley,Guard,180,1988-07-12,USA,Arkansas,2009,2.0,42.0,6.2
42,1630180,Saddiq,Bey,Forward,215,1999-04-09,USA,Villanova,2020,1.0,19.0,6.7
43,203920,Khem,Birch,Center,233,1992-09-28,Canada,UNLV,2017,0.0,0.0,6.8
44,1629048,Goga,Bitadze,Center-Forward,250,1999-07-20,Georgia,Mega Basket,2019,1.0,18.0,6.11
45,202687,Bismack,Biyombo,Center,255,1992-08-28,DRC,Baloncesto Fuenlabrada,2011,1.0,7.0,6.8
46,1631205,Buddy,Boeheim,Forward,205,1999-11-11,USA,Syracuse,2022,0.0,0.0,6.6
47,203992,Bogdan,Bogdanovic,Guard,225,1992-08-18,Serbia,Fenerbahce,2014,1.0,27.0,6.5
48,202711,Bojan,Bogdanovic,Forward,226,1989-04-18,Croatia,Fenerbahce,2011,2.0,31.0,6.7
49,1629626,Bol,Bol,Center-Forward,220,1999-11-16,Sudan,Oregon,2019,2.0,44.0,7.2
50,1630195,Leandro,Bolmaro,Forward,200,2000-09-11,Argentina,,2020,1.0,23.0,6.6
51,1626164,Devin,Booker,Guard,206,1996-10-30,USA,Kentucky,2015,1.0,13.0,6.5
52,1630527,Brandon,Boston Jr.,Guard,188,2001-11-28,USA,Kentucky,2021,2.0,51.0,6.6
53,1628449,Chris,Boucher,Forward-Center,200,1993-01-11,Saint Lucia,Oregon,2017,0.0,0.0,6.9
54,1630547,James,Bouknight,Guard,190,2000-09-18,USA,Connecticut,2021,1.0,11.0,6.4
55,1631123,Jamaree,Bouyea,Guard,180,1999-06-27,USA,San Francisco,2022,0.0,0.0,6.2
56,1628396,Tony,Bradley,Center-Forward,248,1998-01-08,USA,North Carolina,2017,1.0,28.0,6.11
57,1631103,Malaki,Branham,Forward,180,2003-05-12,USA,Ohio State,2022,1.0,20.0,6.4
58,1629714,Jarrell,Brantley,Forward,250,1996-06-07,USA,College of Charleston,2019,2.0,50.0,6.5
59,1631128,Christian,Braun,Guard,220,2001-04-17,USA,Kansas,2022,1.0,21.0,6.6
60,1628969,Mikal,Bridges,Guard-Forward,209,1996-08-30,USA,Villanova,2018,1.0,10.0,6.6
61,1629052,Oshae,Brissett,Forward-Guard,210,1998-06-20,Canada,Syracuse,2019,0.0,0.0,6.7
62,1627763,Malcolm,Brogdon,Guard,229,1992-12-11,USA,Virginia,2016,2.0,36.0,6.4
63,1628415,Dillon,Brooks,Guard-Forward,225,1996-01-22,Canada,Oregon,2017,2.0,45.0,6.6
64,1628971,Bruce,Brown,Guard-Forward,202,1996-08-15,USA,Miami,2018,2.0,42.0,6.4
65,1627759,Jaylen,Brown,Guard-Forward,223,1996-10-24,USA,California,2016,1.0,3.0,6.6
66,1631112,Kendall,Brown,Guard,205,2003-05-11,USA,Baylor,2022,2.0,48.0,6.7
67,1629650,Moses,Brown,Center,245,1999-10-13,USA,UCLA,2019,0.0,0.0,7.2
68,1628425,Sterling,Brown,Guard-Forward,219,1995-02-10,USA,Southern Methodist,2017,2.0,46.0,6.5
69,1630535,Greg,Brown III,Forward,206,2001-09-01,USA,Texas,2021,2.0,43.0,6.7
70,1628972,Troy,Brown Jr.,Guard-Forward,215,1999-07-28,USA,Oregon,2018,1.0,15.0,6.7
71,1628973,Jalen,Brunson,Guard,190,1996-08-31,USA,Villanova,2018,2.0,33.0,6.2
72,1628418,Thomas,Bryant,Center-Forward,248,1997-07-31,USA,Indiana,2017,2.0,42.0,6.1
73,203493,Reggie,Bullock,Guard-Forward,205,1991-03-16,USA,North Carolina,2013,1.0,25.0,6.6
74,202692,Alec,Burks,Guard,214,1991-07-20,USA,Colorado,2011,1.0,12.0,6.6
75,1629126,Deonte,Burton,Guard-Forward,240,1994-01-31,USA,Iowa State,2018,0.0,0.0,6.4
76,1630215,Jared,Butler,Guard,193,2000-08-25,USA,Baylor,2021,2.0,40.0,6.3
77,202710,Jimmy,Butler,Forward,230,1989-09-14,USA,Marquette,2011,1.0,30.0,6.7
78,1631219,John,Butler Jr.,Forward,190,2002-12-04,USA,Florida State,2022,0.0,0.0,7.0
79,1631288,Jamal,Cain,Forward,191,1999-03-20,USA,Oakland,2022,0.0,0.0,6.6
80,203484,Kentavious,Caldwell-Pope,Guard,204,1993-02-18,USA,Georgia,2013,1.0,8.0,6.5
81,1630267,Facundo,Campazzo,Guard,195,1991-03-23,Argentina,,2020,0.0,0.0,5.1
82,1628427,Vlatko,Cancar,Forward,236,1997-04-10,Slovenia,San Pablo Burgos,2017,2.0,49.0,6.8
83,203991,Clint,Capela,Center,256,1994-05-18,Switzerland,Elan Chalon,2014,1.0,25.0,6.1
84,1630176,Vernon,Carey Jr.,Center,270,2001-02-25,USA,Duke,2020,2.0,32.0,6.1
85,1628975,Jevon,Carter,Guard,200,1995-09-14,USA,West Virginia,2018,2.0,32.0,6.1
86,1628976,Wendell,Carter Jr.,Center-Forward,270,1999-04-16,USA,Duke,2018,1.0,7.0,6.1
